==2967055== NVPROF is profiling process 2967055, command: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2967055== Profiling application: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2967055== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",68.197688,493.645697,400,1.234114,1.230525,1.247837,"kernel_dist_lab"
"GPU activities",11.141787,80.649291,401,0.201120,0.145975,0.893937,"[CUDA memcpy HtoH]"
"GPU activities",9.642272,69.795126,1600,0.043621,0.012575,0.106301,"[CUDA memcpy DtoH]"
"GPU activities",5.268279,38.134183,800,0.047667,0.044702,0.065502,"[CUDA memcpy HtoD]"
"GPU activities",2.268947,16.423662,400,0.041059,0.036063,0.052223,"updateBackgroundModelKernel"
"GPU activities",1.110664,8.039485,400,0.020098,0.019295,0.029023,"dilationKernel"
"GPU activities",1.075422,7.784390,800,0.009730,0.008064,0.019359,"[CUDA memcpy DtoD]"
"GPU activities",0.911158,6.595373,400,0.016488,0.015647,0.025887,"erosionKernel"
"GPU activities",0.349886,2.532633,400,0.006331,0.005600,0.016255,"ConvertNV12BLtoNV12"
"GPU activities",0.025631,0.185531,68,0.002728,0.000736,0.003264,"[CUDA memset]"
"GPU activities",0.008267,0.059839,18,0.003324,0.002880,0.003840,"MemsetD2D_BL"
"API calls",61.587203,1388.329906,2801,0.495655,0.010999,415.152321,"cudaMemcpy"
"API calls",24.921456,561.792070,2,280.896035,270.123292,291.668778,"cuCtxCreate"
"API calls",4.215897,95.036890,800,0.118796,0.057247,0.341746,"cuMemcpy2DAsync"
"API calls",3.858822,86.987522,2,43.493761,43.109853,43.877669,"cuCtxDestroy"
"API calls",1.972164,44.457526,400,0.111143,0.033849,0.321851,"cudaDeviceSynchronize"
"API calls",1.275366,28.749937,1600,0.017968,0.007316,0.827889,"cudaLaunchKernel"
"API calls",0.441704,9.957104,418,0.023820,0.011245,0.088668,"cuLaunchKernel"
"API calls",0.400208,9.021700,468,0.019277,0.001892,0.785801,"cuStreamSynchronize"
"API calls",0.322988,7.280956,61,0.119359,0.065868,0.212824,"cuMemFree"
"API calls",0.246554,5.557939,400,0.013894,0.009838,0.055980,"cuTexObjectCreate"
"API calls",0.126168,2.844147,402,0.007074,0.004760,0.030538,"cuEventRecord"
"API calls",0.108624,2.448663,393,0.006230,0.001742,0.049261,"cuEventSynchronize"
"API calls",0.075483,1.701573,68,0.025023,0.007893,0.102443,"cuMemsetD8Async"
"API calls",0.061627,1.389234,1,1.389234,1.389234,1.389234,"cuModuleLoadData"
"API calls",0.050331,1.134591,60,0.018909,0.014043,0.067901,"cuStreamCreate"
"API calls",0.049196,1.109007,885,0.001253,0.000301,0.019807,"cuCtxPushCurrent"
"API calls",0.043959,0.990947,401,0.002471,0.001645,0.017721,"cuStreamQuery"
"API calls",0.041572,0.937147,59,0.015883,0.013023,0.034598,"cuStreamDestroy"
"API calls",0.034836,0.785281,1,0.785281,0.785281,0.785281,"cuModuleUnload"
"API calls",0.031032,0.699539,886,0.000789,0.000218,0.020492,"cuCtxPopCurrent"
"API calls",0.025208,0.568242,9,0.063138,0.019865,0.177716,"cuArrayDestroy"
"API calls",0.022517,0.507593,400,0.001268,0.000511,0.012014,"cuTexObjectDestroy"
"API calls",0.017265,0.389198,61,0.006380,0.004918,0.018796,"cuInit"
"API calls",0.015654,0.352888,4,0.088222,0.008051,0.167455,"cudaMalloc"
"API calls",0.014691,0.331176,229,0.001446,0.000163,0.129457,"cuDeviceGetAttribute"
"API calls",0.007577,0.170810,1,0.170810,0.170810,0.170810,"cuMemAllocPitch"
"API calls",0.006889,0.155294,378,0.000410,0.000200,0.009272,"cuGetProcAddress"
"API calls",0.006019,0.135677,122,0.001112,0.000296,0.014733,"cuCtxGetDevice"
"API calls",0.005534,0.124755,3,0.041585,0.038513,0.047442,"cuDeviceGetName"
"API calls",0.004341,0.097862,9,0.010873,0.005665,0.032915,"cuSurfObjectCreate"
"API calls",0.002256,0.050859,2,0.025429,0.015297,0.035562,"cuCtxSynchronize"
"API calls",0.001198,0.027003,1,0.027003,0.027003,0.027003,"cuStreamDestroy"
"API calls",0.001175,0.026493,1,0.026493,0.026493,0.026493,"cuDeviceGetPCIBusId"
"API calls",0.001048,0.023623,59,0.000400,0.000346,0.000740,"cuCtxGetApiVersion"
"API calls",0.000846,0.019065,9,0.002118,0.000824,0.010943,"cuSurfObjectDestroy"
"API calls",0.000651,0.014673,33,0.000444,0.000285,0.003591,"cuModuleGetFunction"
"API calls",0.000628,0.014159,61,0.000232,0.000170,0.001890,"cuDriverGetVersion"
"API calls",0.000441,0.009949,16,0.000621,0.000321,0.004046,"cuEventCreate"
"API calls",0.000371,0.008355,16,0.000522,0.000252,0.002549,"cuEventDestroy"
"API calls",0.000306,0.006899,6,0.001149,0.000217,0.003467,"cuDeviceGetCount"
"API calls",0.000105,0.002361,6,0.000393,0.000164,0.001139,"cuDeviceGet"
"API calls",0.000039,0.000886,1,0.000886,0.000886,0.000886,"cuDeviceTotalMem"
"API calls",0.000027,0.000603,1,0.000603,0.000603,0.000603,"cuModuleGetLoadingMode"
"API calls",0.000022,0.000504,1,0.000504,0.000504,0.000504,"cuDeviceGetUuid"
