==2972135== NVPROF is profiling process 2972135, command: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972135== Profiling application: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972135== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",78.335689,493.718317,400,1.234295,1.230333,1.250653,"kernel_dist_lab"
"GPU activities",5.605390,35.328519,1200,0.029440,0.012479,0.063870,"[CUDA memcpy DtoH]"
"GPU activities",2.953563,18.615117,401,0.046421,0.044255,0.064606,"[CUDA memcpy HtoD]"
"GPU activities",2.639722,16.637105,400,0.041592,0.017760,0.053598,"hysteresis_thresholding_kernel"
"GPU activities",2.402476,15.141839,400,0.037854,0.036351,0.047647,"updateBackgroundModelKernel"
"GPU activities",1.885814,11.885529,400,0.029713,0.029183,0.036639,"compute_min_values_kernel"
"GPU activities",1.720129,10.841282,400,0.027103,0.026335,0.036031,"erosionKernel"
"GPU activities",1.710191,10.778643,400,0.026946,0.026591,0.035999,"dilationKernel"
"GPU activities",1.337848,8.431916,800,0.010539,0.007200,0.019648,"[CUDA memcpy DtoD]"
"GPU activities",0.930247,5.862973,400,0.014657,0.014079,0.023295,"apply_color_to_buffer_kernel"
"GPU activities",0.436146,2.748855,400,0.006872,0.005056,0.016896,"ConvertNV12BLtoNV12"
"GPU activities",0.033417,0.210617,68,0.003097,0.000736,0.012224,"[CUDA memset]"
"GPU activities",0.009367,0.059037,18,0.003279,0.002816,0.003999,"MemsetD2D_BL"
