==2972521== NVPROF is profiling process 2972521, command: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972521== Profiling application: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972521== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",79.340583,704.677652,400,1.761694,1.739856,1.847629,"labDistanceKernel"
"GPU activities",10.191758,90.519928,2000,0.045259,0.014720,0.099389,"[CUDA memcpy DtoH]"
"GPU activities",8.541347,75.861507,2400,0.031608,0.000703,0.065502,"[CUDA memcpy HtoD]"
"GPU activities",0.792949,7.042715,400,0.017606,0.016991,0.026591,"erosionKernel"
"GPU activities",0.792873,7.042047,400,0.017605,0.017056,0.026015,"dilationKernel"
"GPU activities",0.311001,2.762215,400,0.006905,0.005663,0.016159,"ConvertNV12BLtoNV12"
"GPU activities",0.022835,0.202812,68,0.002982,0.000736,0.010176,"[CUDA memset]"
"GPU activities",0.006654,0.059103,18,0.003283,0.002720,0.003936,"MemsetD2D_BL"
"API calls",54.057558,1719.374115,2800,0.614062,0.219289,4.398152,"cudaMemcpy"
"API calls",16.810347,534.675935,2,267.337967,233.944579,300.731356,"cuCtxCreate"
"API calls",13.767671,437.899474,1202,0.364309,0.008820,282.408988,"cudaMalloc"
"API calls",4.789837,152.347286,800,0.190434,0.065424,2.104932,"cuMemcpy2DAsync"
"API calls",2.765106,87.947939,2,43.973969,43.218415,44.729524,"cuCtxDestroy"
"API calls",2.555552,81.282813,1200,0.067735,0.008831,0.399768,"cudaFree"
"API calls",2.145067,68.226783,800,0.085283,0.029894,2.211770,"cudaMemcpyToSymbol"
"API calls",1.129112,35.912940,1200,0.029927,0.016570,0.173995,"cudaLaunchKernel"
"API calls",0.421159,13.395531,418,0.032046,0.006804,0.208328,"cuLaunchKernel"
"API calls",0.296918,9.443880,400,0.023609,0.016015,0.046721,"cuTexObjectCreate"
"API calls",0.209150,6.652290,61,0.109053,0.033448,0.143775,"cuMemFree"
"API calls",0.203831,6.483136,468,0.013852,0.002109,2.057760,"cuStreamSynchronize"
"API calls",0.174613,5.553807,393,0.014131,0.001922,0.174723,"cuEventSynchronize"
"API calls",0.130685,4.156613,402,0.010339,0.005814,0.154362,"cuEventRecord"
"API calls",0.121915,3.877666,400,0.009694,0.006746,0.054837,"cudaDeviceSynchronize"
"API calls",0.102928,3.273767,401,0.008164,0.001740,1.422920,"cuStreamQuery"
"API calls",0.051892,1.650502,68,0.024272,0.007823,0.062271,"cuMemsetD8Async"
"API calls",0.044488,1.414991,885,0.001598,0.000236,0.027050,"cuCtxPushCurrent"
"API calls",0.037547,1.194229,60,0.019903,0.014922,0.065222,"cuStreamCreate"
"API calls",0.032743,1.041433,1,1.041433,1.041433,1.041433,"cuModuleLoadData"
"API calls",0.031206,0.992564,59,0.016823,0.013782,0.056452,"cuStreamDestroy"
"API calls",0.019637,0.624587,886,0.000704,0.000190,0.013483,"cuCtxPopCurrent"
"API calls",0.018793,0.597745,400,0.001494,0.000568,0.102643,"cuTexObjectDestroy"
"API calls",0.016637,0.529175,9,0.058797,0.017301,0.200208,"cuArrayDestroy"
"API calls",0.015947,0.507222,1,0.507222,0.507222,0.507222,"cuModuleUnload"
"API calls",0.011202,0.356279,61,0.005840,0.004338,0.024723,"cuInit"
"API calls",0.010815,0.343995,229,0.001502,0.000162,0.117334,"cuDeviceGetAttribute"
"API calls",0.006953,0.221140,1,0.221140,0.221140,0.221140,"cuMemAllocPitch"
"API calls",0.004600,0.146319,3,0.048773,0.026272,0.064591,"cuDeviceGetName"
"API calls",0.004172,0.132691,378,0.000351,0.000175,0.006405,"cuGetProcAddress"
"API calls",0.003654,0.116205,122,0.000952,0.000305,0.002825,"cuCtxGetDevice"
"API calls",0.001903,0.060517,9,0.006724,0.003273,0.018904,"cuSurfObjectCreate"
"API calls",0.001409,0.044802,2,0.022401,0.011303,0.033499,"cuCtxSynchronize"
"API calls",0.001140,0.036274,59,0.000614,0.000342,0.013560,"cuCtxGetApiVersion"
"API calls",0.000936,0.029761,1,0.029761,0.029761,0.029761,"cuStreamDestroy"
"API calls",0.000743,0.023619,33,0.000715,0.000278,0.011878,"cuModuleGetFunction"
"API calls",0.000441,0.014042,61,0.000230,0.000176,0.001564,"cuDriverGetVersion"
"API calls",0.000436,0.013855,1,0.013855,0.013855,0.013855,"cuDeviceGetPCIBusId"
"API calls",0.000360,0.011439,9,0.001271,0.000713,0.003880,"cuSurfObjectDestroy"
"API calls",0.000285,0.009069,16,0.000566,0.000310,0.003463,"cuEventCreate"
"API calls",0.000258,0.008202,16,0.000512,0.000252,0.002096,"cuEventDestroy"
"API calls",0.000185,0.005891,6,0.000981,0.000213,0.002760,"cuDeviceGetCount"
"API calls",0.000096,0.003048,6,0.000508,0.000181,0.001148,"cuDeviceGet"
"API calls",0.000034,0.001066,1,0.001066,0.001066,0.001066,"cuDeviceTotalMem"
"API calls",0.000030,0.000963,1,0.000963,0.000963,0.000963,"cuModuleGetLoadingMode"
"API calls",0.000010,0.000320,1,0.000320,0.000320,0.000320,"cuDeviceGetUuid"
