==2972702== NVPROF is profiling process 2972702, command: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972702== Profiling application: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972702== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",63.369210,493.924657,400,1.234811,1.230686,1.259422,"kernel_dist_lab"
"GPU activities",13.826434,107.768686,401,0.268749,0.233339,0.644950,"[CUDA memcpy HtoH]"
"GPU activities",10.996954,85.714603,2000,0.042857,0.013151,0.086974,"[CUDA memcpy DtoH]"
"GPU activities",9.644032,75.169392,1600,0.046980,0.044223,0.065406,"[CUDA memcpy HtoD]"
"GPU activities",0.892330,6.955169,400,0.017387,0.017087,0.026463,"dilationKernel"
"GPU activities",0.888730,6.927112,400,0.017317,0.017024,0.027039,"erosionKernel"
"GPU activities",0.350051,2.728435,400,0.006821,0.006176,0.015839,"ConvertNV12BLtoNV12"
"GPU activities",0.024936,0.194364,68,0.002858,0.000704,0.012159,"[CUDA memset]"
"GPU activities",0.007324,0.057087,18,0.003171,0.002624,0.003840,"MemsetD2D_BL"
"API calls",47.871437,1215.929318,3201,0.379859,0.236332,296.079886,"cudaMemcpy"
"API calls",20.599787,523.232369,400,1.308080,1.246197,1.339731,"cudaDeviceSynchronize"
"API calls",20.567058,522.401040,2,261.200520,247.744506,274.656534,"cuCtxCreate"
"API calls",4.672027,118.668982,800,0.148336,0.054921,0.419915,"cuMemcpy2DAsync"
"API calls",3.536669,89.831020,2,44.915510,43.434968,46.396052,"cuCtxDestroy"
"API calls",1.064266,27.032239,1200,0.022526,0.015120,0.070419,"cudaLaunchKernel"
"API calls",0.389908,9.903616,418,0.023692,0.006115,0.138995,"cuLaunchKernel"
"API calls",0.270976,6.882759,61,0.112832,0.051301,0.179174,"cuMemFree"
"API calls",0.249260,6.331170,400,0.015827,0.009333,0.157705,"cuTexObjectCreate"
"API calls",0.118745,3.016108,402,0.007502,0.004795,0.033434,"cuEventRecord"
"API calls",0.114205,2.900799,393,0.007381,0.001819,0.027816,"cuEventSynchronize"
"API calls",0.068514,1.740253,68,0.025591,0.008839,0.085469,"cuMemsetD8Async"
"API calls",0.068336,1.735739,401,0.004328,0.001728,0.180644,"cuStreamQuery"
"API calls",0.061881,1.571771,468,0.003358,0.001953,0.070086,"cuStreamSynchronize"
"API calls",0.048898,1.241997,60,0.020699,0.014133,0.074045,"cuStreamCreate"
"API calls",0.047916,1.217053,885,0.001375,0.000258,0.031914,"cuCtxPushCurrent"
"API calls",0.040245,1.022223,1,1.022223,1.022223,1.022223,"cuModuleLoadData"
"API calls",0.038880,0.987542,59,0.016738,0.013757,0.030880,"cuStreamDestroy"
"API calls",0.026285,0.667645,1,0.667645,0.667645,0.667645,"cuModuleUnload"
"API calls",0.021654,0.550018,9,0.061113,0.021278,0.216823,"cuArrayDestroy"
"API calls",0.020423,0.518733,886,0.000585,0.000203,0.014026,"cuCtxPopCurrent"
"API calls",0.020117,0.510966,4,0.127741,0.013211,0.196893,"cudaMalloc"
"API calls",0.017300,0.439411,400,0.001098,0.000514,0.008074,"cuTexObjectDestroy"
"API calls",0.016478,0.418550,229,0.001827,0.000180,0.140424,"cuDeviceGetAttribute"
"API calls",0.014243,0.361779,61,0.005930,0.004324,0.020568,"cuInit"
"API calls",0.007097,0.180273,378,0.000476,0.000284,0.004192,"cuGetProcAddress"
"API calls",0.005965,0.151511,3,0.050503,0.044081,0.063167,"cuDeviceGetName"
"API calls",0.005904,0.149972,1,0.149972,0.149972,0.149972,"cuMemAllocPitch"
"API calls",0.004490,0.114036,122,0.000934,0.000285,0.001749,"cuCtxGetDevice"
"API calls",0.002573,0.065344,2,0.032672,0.029377,0.035967,"cuCtxSynchronize"
"API calls",0.001684,0.042775,9,0.004752,0.002810,0.016708,"cuSurfObjectCreate"
"API calls",0.001627,0.041322,59,0.000700,0.000318,0.019779,"cuCtxGetApiVersion"
"API calls",0.001273,0.032326,33,0.000979,0.000346,0.013216,"cuModuleGetFunction"
"API calls",0.000829,0.021051,1,0.021051,0.021051,0.021051,"cuStreamDestroy"
"API calls",0.000577,0.014653,61,0.000240,0.000165,0.001492,"cuDriverGetVersion"
"API calls",0.000564,0.014325,16,0.000895,0.000316,0.004533,"cuEventCreate"
"API calls",0.000538,0.013671,1,0.013671,0.013671,0.013671,"cuDeviceGetPCIBusId"
"API calls",0.000452,0.011472,9,0.001274,0.000675,0.003986,"cuSurfObjectDestroy"
"API calls",0.000365,0.009263,6,0.001543,0.000436,0.003508,"cuDeviceGetCount"
"API calls",0.000357,0.009068,16,0.000566,0.000252,0.002188,"cuEventDestroy"
"API calls",0.000112,0.002854,6,0.000475,0.000168,0.001408,"cuDeviceGet"
"API calls",0.000037,0.000950,1,0.000950,0.000950,0.000950,"cuDeviceTotalMem"
"API calls",0.000025,0.000625,1,0.000625,0.000625,0.000625,"cuDeviceGetUuid"
"API calls",0.000024,0.000606,1,0.000606,0.000606,0.000606,"cuModuleGetLoadingMode"
