==2972930== NVPROF is profiling process 2972930, command: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972930== Profiling application: /nix/store/ipzxn1k7yx6xzwwzpm0g55gz68q2cn64-gstreamer-1.22.5-bin/bin/gst-launch-1.0 uridecodebin uri=file:///home/pierre.litoux/afs/irgpu/gpgpu-23-fall/subject/camera.webm ! videoconvert ! video/x-raw, format=(string)RGB ! cudafilter ! videoconvert ! vide
==2972930== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",65.844118,493.909082,400,1.234772,1.230877,1.255485,"kernel_dist_lab"
"GPU activities",13.602844,102.037487,401,0.254457,0.219383,0.662945,"[CUDA memcpy HtoH]"
"GPU activities",9.472272,71.053289,1600,0.044408,0.014624,0.097502,"[CUDA memcpy DtoH]"
"GPU activities",5.044234,37.837747,800,0.047297,0.043966,0.064959,"[CUDA memcpy HtoD]"
"GPU activities",2.176320,16.324981,400,0.040812,0.036383,0.049663,"updateBackgroundModelKernel"
"GPU activities",1.471657,11.039177,400,0.027597,0.026911,0.037566,"erosionKernel"
"GPU activities",1.444645,10.836554,400,0.027091,0.026623,0.036799,"dilationKernel"
"GPU activities",0.576332,4.323177,400,0.010807,0.010144,0.019904,"[CUDA memcpy DtoD]"
"GPU activities",0.335050,2.513273,400,0.006283,0.005280,0.014943,"ConvertNV12BLtoNV12"
"GPU activities",0.024875,0.186590,68,0.002743,0.000736,0.003296,"[CUDA memset]"
"GPU activities",0.007653,0.057405,18,0.003189,0.002464,0.004000,"MemsetD2D_BL"
"API calls",42.125137,986.713859,2401,0.410959,0.019841,466.471419,"cudaMemcpy"
"API calls",23.747093,556.237619,2,278.118809,264.645113,291.592506,"cuCtxCreate"
"API calls",23.549979,551.620544,1200,0.459683,0.009669,1.270109,"cudaDeviceSynchronize"
"API calls",3.986799,93.384382,2,46.692191,44.660682,48.723700,"cuCtxDestroy"
"API calls",3.892915,91.185291,800,0.113981,0.056446,0.367432,"cuMemcpy2DAsync"
"API calls",1.044807,24.472925,1600,0.015295,0.007989,0.065524,"cudaLaunchKernel"
"API calls",0.345809,8.100032,418,0.019378,0.005664,0.067932,"cuLaunchKernel"
"API calls",0.300397,7.036322,61,0.115349,0.076494,0.189698,"cuMemFree"
"API calls",0.206807,4.844127,400,0.012110,0.009091,0.050907,"cuTexObjectCreate"
"API calls",0.131301,3.075520,393,0.007825,0.001784,0.890052,"cuEventSynchronize"
"API calls",0.102543,2.401898,402,0.005974,0.004671,0.029919,"cuEventRecord"
"API calls",0.075575,1.770226,68,0.026032,0.008542,0.078792,"cuMemsetD8Async"
"API calls",0.061025,1.429420,468,0.003054,0.001705,0.070167,"cuStreamSynchronize"
"API calls",0.051363,1.203097,59,0.020391,0.013918,0.049848,"cuStreamDestroy"
"API calls",0.051236,1.200113,60,0.020001,0.014823,0.074842,"cuStreamCreate"
